symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2025-11-10 09:30:00-05:00,315.0,317.25,314.21,316.89,229422.0,4451.0,315.366011
JPM,2025-11-10 09:31:00-05:00,316.68,317.0,316.3331,316.755,18812.0,613.0,316.745013
JPM,2025-11-10 09:32:00-05:00,316.99,317.14,316.34,317.1,14386.0,475.0,316.657986
JPM,2025-11-10 09:33:00-05:00,317.125,317.95,317.08,317.95,38564.0,1364.0,317.639419
JPM,2025-11-10 09:34:00-05:00,317.88,319.19,317.72,318.565,53464.0,1754.0,318.551641
JPM,2025-11-10 09:35:00-05:00,318.478,319.44,318.44,319.325,40902.0,1003.0,318.881986
JPM,2025-11-10 09:36:00-05:00,319.325,319.325,318.75,319.0025,28206.0,824.0,318.946489
JPM,2025-11-10 09:37:00-05:00,318.97,319.555,318.69,319.375,61865.0,1229.0,319.060176
JPM,2025-11-10 09:38:00-05:00,319.46,319.46,318.76,318.99,34566.0,915.0,319.057449
JPM,2025-11-10 09:39:00-05:00,318.97,319.0,318.6,318.999,31091.0,868.0,318.761965
JPM,2025-11-10 09:40:00-05:00,318.9244,319.08,317.85,317.9,27605.0,945.0,318.505044
JPM,2025-11-10 09:41:00-05:00,317.92,318.08,317.71,317.74,23547.0,770.0,317.871594
JPM,2025-11-10 09:42:00-05:00,317.72,317.895,317.39,317.748,21199.0,821.0,317.654858
JPM,2025-11-10 09:43:00-05:00,317.68,317.86,317.24,317.45,11079.0,494.0,317.496971
JPM,2025-11-10 09:44:00-05:00,317.43,317.51,317.25,317.48,14630.0,510.0,317.38961
JPM,2025-11-10 09:45:00-05:00,317.5,317.75,317.2,317.32,20975.0,870.0,317.506277
JPM,2025-11-10 09:46:00-05:00,317.39,317.51,317.24,317.43,20466.0,628.0,317.379561
JPM,2025-11-10 09:47:00-05:00,317.36,317.83,317.29,317.56,21218.0,712.0,317.553634
JPM,2025-11-10 09:48:00-05:00,317.61,317.68,317.32,317.43,41797.0,931.0,317.430264
JPM,2025-11-10 09:49:00-05:00,317.45,317.575,317.15,317.41,21354.0,696.0,317.413462
JPM,2025-11-10 09:50:00-05:00,317.405,317.41,316.97,317.11,13164.0,493.0,317.141903
JPM,2025-11-10 09:51:00-05:00,317.13,317.4,317.1,317.2235,17817.0,588.0,317.24157
JPM,2025-11-10 09:52:00-05:00,317.18,317.18,316.52,316.77,18746.0,637.0,316.767291
JPM,2025-11-10 09:53:00-05:00,316.7175,316.74,316.06,316.06,15719.0,541.0,316.485667
JPM,2025-11-10 09:54:00-05:00,316.225,316.2899,315.7,316.185,11601.0,511.0,316.071705
JPM,2025-11-10 09:55:00-05:00,316.1655,316.185,315.7,315.88,13171.0,446.0,315.939579
JPM,2025-11-10 09:56:00-05:00,315.8979,315.96,315.62,315.7,20118.0,545.0,315.747706
JPM,2025-11-10 09:57:00-05:00,315.74,315.8915,315.345,315.36,16123.0,612.0,315.722734
JPM,2025-11-10 09:58:00-05:00,315.2701,315.5783,315.2325,315.35,9841.0,362.0,315.363763
JPM,2025-11-10 09:59:00-05:00,315.33,315.43,314.9,314.95,27728.0,699.0,315.134302
JPM,2025-11-10 10:00:00-05:00,314.93,315.22,314.72,315.22,25213.0,961.0,314.938344
JPM,2025-11-10 10:01:00-05:00,315.09,315.5412,315.05,315.355,23789.0,804.0,315.316786
JPM,2025-11-10 10:02:00-05:00,315.31,315.53,315.03,315.4353,13041.0,496.0,315.28036
JPM,2025-11-10 10:03:00-05:00,315.393,315.56,315.35,315.41,16262.0,440.0,315.456288
JPM,2025-11-10 10:04:00-05:00,315.495,315.7,315.43,315.605,18229.0,592.0,315.552716
JPM,2025-11-10 10:05:00-05:00,315.634,315.96,315.53,315.9599,23747.0,582.0,315.792537
JPM,2025-11-10 10:06:00-05:00,315.87,316.25,315.87,315.935,24737.0,686.0,316.072731
JPM,2025-11-10 10:07:00-05:00,315.93,315.94,315.55,315.715,9445.0,376.0,315.801065
